SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2029 36th Ave,Oakland,CA,94601,515000,2,1.0,Fruitvale,813,3815,1909,5,633,,Active,,,http://www.redfin.com/CA/Oakland/2029-36th-Ave-94601/home/1957441,Bridge MLS,40844664,N,Y,37.7825782,-122.2164824
MLS Listing,,Single Family Residential,2551 94Th Ave,Oakland,CA,94605,499000,2,1.0,Toler Heights,860,5750,1939,6,580,,Active,November-11-2018 01:00 PM,November-11-2018 04:00 PM,http://www.redfin.com/CA/Oakland/2551-94th-Ave-94605/home/619062,Bridge MLS,40844509,N,Y,37.7535756,-122.1591934
MLS Listing,,Single Family Residential,2521 Coolidge Ave,Oakland,CA,94601,698000,3,2.5,Oakland,1830,5000,1900,22,381,,Active,,,http://www.redfin.com/CA/Oakland/2521-Coolidge-Ave-94601/home/1483212,San Francisco MLS,477634,N,Y,37.7876922,-122.2181669
MLS Listing,,Single Family Residential,3738 Virden Ave,Oakland,CA,94619,799000,3,2.0,Redwood Heights,1689,4136,1950,30,473,,Active,,,http://www.redfin.com/CA/Oakland/3738-Virden-Ave-94619/home/1666999,Bridge MLS,40841619,N,Y,37.7957372,-122.1908125
MLS Listing,,Single Family Residential,529 44th St,Oakland,CA,94609,795000,2,2.0,Temescal,900,4000,1922,1,883,,Active,,,http://www.redfin.com/CA/Oakland/529-44th-St-94609/home/659158,Bridge MLS,40845165,N,Y,37.832237,-122.2646576
MLS Listing,,Single Family Residential,1327 93rd,Oakland,CA,94603,488000,3,1.5,Oakland,1800,4176,1922,1,271,,Active,,,http://www.redfin.com/CA/Oakland/1327-93rd-Ave-94603/home/1872192,Bridge MLS,40845160,N,Y,37.7474658,-122.1743611
MLS Listing,,Multi-Family (2-4 Unit),3011 E 19Th St,Oakland,CA,94601,850000,,,Oakland,2652,6250,1915,1,321,,Active,,,http://www.redfin.com/CA/Oakland/3011-E-19th-St-94601/home/1618862,Bridge MLS,40845158,N,Y,37.782932,-122.22434
MLS Listing,,Single Family Residential,7900 Michigan Ave,Oakland,CA,94605,750000,4,2.0,Oakland Hills,2107,7650,1950,1,356,,Active,,,http://www.redfin.com/CA/Oakland/7900-Michigan-Ave-94605/home/577169,Bridge MLS,40845156,N,Y,37.7678652,-122.1621206
MLS Listing,,Single Family Residential,8118 Sunkist Dr,Oakland,CA,94605,768888,3,2.5,King Estates,1649,5520,1951,1,466,,Active,November-10-2018 01:00 PM,November-10-2018 04:00 PM,http://www.redfin.com/CA/Oakland/8118-Sunkist-Dr-94605/home/1118341,Bridge MLS,40845155,N,Y,37.7661411,-122.1583507
MLS Listing,,Single Family Residential,2463 Renwick,Oakland,CA,94601,589000,3,1.0,Maxwell  Park,1161,5160,1924,1,507,,Active,November-10-2018 02:00 PM,November-10-2018 04:30 PM,http://www.redfin.com/CA/Oakland/2463-Renwick-St-94601/home/1277200,Bridge MLS,40845146,N,Y,37.7788236,-122.201509
MLS Listing,,Single Family Residential,2232 8Th Ave,Oakland,CA,94606,675000,4,1.5,Ivy Hill,1567,4000,1910,1,431,,Active,,,http://www.redfin.com/CA/Oakland/2232-8th-Ave-94606/home/1618686,Bridge MLS,40844757,N,Y,37.7991117,-122.243254
MLS Listing,,Multi-Family (2-4 Unit),1195 79th Ave,Oakland,CA,94621,530000,4,3.0,Oakland,1744,6500,1910,1,304,,Active,,,http://www.redfin.com/CA/Oakland/1195-79th-Ave-94621/home/1189300,Bridge MLS,40845097,N,Y,37.7550861,-122.186201
MLS Listing,,Single Family Residential,9030 Plymouth St,Oakland,CA,94603,339000,1,1.0,Ivy Wood Ext.,440,1700,1925,1,770,,Active,,,http://www.redfin.com/CA/Oakland/9030-Plymouth-St-94603/home/1422840,Bridge MLS,40845091,N,Y,37.7506101,-122.1705583
MLS Listing,,Single Family Residential,6062 Glenarms Dr,Oakland,CA,94611,1495000,3,2.5,Montclair,3917,10286,1995,1,382,,Active,November-11-2018 02:00 PM,November-11-2018 04:30 PM,http://www.redfin.com/CA/Oakland/6062-Glenarms-Dr-94611/home/1364055,Bridge MLS,40845080,N,Y,37.8465694,-122.2249489
MLS Listing,,Single Family Residential,2033 Myrtle St,Oakland,CA,94607,599000,2,2.0,Alameda County,1137,3964,1907,1,527,,Active,,,http://www.redfin.com/CA/Oakland/2033-Myrtle-St-94607/home/1321510,BAREIS,21828606,N,Y,37.81353,-122.280421
