SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,11 Littlewood Dr,Piedmont,CA,94611,1895000,4,2.5,Piedmont,2466,7081,1964,2,768,,Active,,,http://www.redfin.com/CA/Piedmont/11-Littlewood-Dr-94611/home/1843344,Bridge MLS,40845022,N,Y,37.824334,-122.2215358
MLS Listing,,Single Family Residential,5518 E 15Th St,Oakland,CA,94621,415000,2,1.5,Oakland,1039,3300,1913,3,399,,Active,,,http://www.redfin.com/CA/Oakland/5518-E-15th-St-94621/home/1517106,Bridge MLS,40845012,N,Y,37.768067,-122.201552
MLS Listing,,Single Family Residential,2215 87Th Ave,Oakland,CA,94605,539000,3,2.0,Oakland,1547,5000,1919,3,348,,Active,November-11-2018 02:00 PM,November-11-2018 04:00 PM,http://www.redfin.com/CA/Oakland/2215-87th-Ave-94605/home/586325,Bridge MLS,40845008,N,Y,37.7560486,-122.1669992
MLS Listing,,Single Family Residential,2434 E 23Rd St,Oakland,CA,94601,850000,4,2.5,Oakland,1540,4280,1898,3,552,,Active,,,http://www.redfin.com/CA/Oakland/2434-E-23rd-St-94601/home/537634,Bridge MLS,40845006,N,Y,37.7888049,-122.2273425
MLS Listing,,Single Family Residential,1652 101st Ave,Oakland,CA,94603,449950,2,1.0,Ivy Wood Ext.,895,5252,1921,3,503,,Active,,,http://www.redfin.com/CA/Oakland/1652-101st-Ave-94603/home/1330571,Bridge MLS,40844991,N,Y,37.7428546,-122.1654913
MLS Listing,,Single Family Residential,1423 E 32nd St,Oakland,CA,94602,725000,3,2.0,Highland Heights,1232,3400,1924,3,588,,Active,,,http://www.redfin.com/CA/Oakland/1423-E-32nd-St-94602/home/1820451,Bridge MLS,40844989,N,Y,37.799667,-122.2305782
MLS Listing,,Single Family Residential,3301 Martin Luther King Jr Way,Oakland,CA,94609,875000,4,1.5,Elmwood,2027,4510,1912,3,432,,Active,,,http://www.redfin.com/CA/Oakland/3301-Martin-Luther-King-Jr-Way-94609/home/525743,Bridge MLS,40844983,N,Y,37.8229027,-122.270462
MLS Listing,,Single Family Residential,4621 Dolores Ave,Oakland,CA,94602,669000,1,1.0,Glenview Upper,1037,3200,1923,3,645,,Active,,,http://www.redfin.com/CA/Oakland/4621-Dolores-Ave-94602/home/1888434,Bridge MLS,40844968,N,Y,37.808804,-122.2173689
MLS Listing,,Single Family Residential,5815 avenal Ave,Oakland,CA,94605,439000,2,1.5,Oakland,1333,5120,1917,4,329,,Active,November-10-2018 02:00 PM,November-10-2018 04:00 PM,http://www.redfin.com/CA/Oakland/5815-Avenal-Ave-94605/home/1871970,San Francisco MLS,478448,N,Y,37.770615,-122.193099
MLS Listing,,Single Family Residential,4817 Walnut,Oakland,CA,94619,575000,2,1.0,Maxwell  Park,1060,4080,1920,4,542,,Active,,,http://www.redfin.com/CA/Oakland/4817-Walnut-St-94619/home/1398850,Bridge MLS,40844907,N,Y,37.7793905,-122.1996802
MLS Listing,,Single Family Residential,2350 Courtland Ave,Oakland,CA,94601,699000,2,1.0,Lower Maxwell,1138,4125,1936,4,614,,Active,November-11-2018 02:00 PM,November-11-2018 04:30 PM,http://www.redfin.com/CA/Oakland/2350-Courtland-Ave-94601/home/1986944,Bridge MLS,40844905,N,Y,37.7795002,-122.2053107
MLS Listing,,Single Family Residential,5720 Nottingham Dr,Oakland,CA,94611,925000,3,2.0,Montclair,1311,8505,1928,4,706,,Active,,,http://www.redfin.com/CA/Oakland/5720-Nottingham-Dr-94611/home/945667,Bridge MLS,40844886,N,Y,37.836644,-122.2139112
MLS Listing,,Multi-Family (2-4 Unit),87 Linda Ave,Oakland,CA,94611,1100000,5,2.0,Oakland,2680,3000,1906,4,410,,Active,November-8-2018 10:00 AM,November-8-2018 01:00 PM,http://www.redfin.com/CA/Piedmont/87-Linda-Ave-94611/home/528188,Bridge MLS,40844865,N,Y,37.825482,-122.2487493
MLS Listing,,Single Family Residential,6301 Longcroft Dr,Oakland,CA,94611,978000,4,3.0,Piedmont Pines,2203,7398,1956,4,444,,Active,November-11-2018 02:00 PM,November-11-2018 04:30 PM,http://www.redfin.com/CA/Oakland/6301-Longcroft-Dr-94611/home/615528,Bridge MLS,40844848,N,Y,37.8218495,-122.194271
MLS Listing,,Single Family Residential,3624 Nevil St,Oakland,CA,94601,599000,2,1.0,Allendale,1015,3710,1923,4,590,,Active,November-10-2018 02:00 PM,November-10-2018 04:30 PM,http://www.redfin.com/CA/Oakland/3624-Nevil-St-94601/home/772642,Bridge MLS,40844841,N,Y,37.7861245,-122.2092564
MLS Listing,,Single Family Residential,3424 Salisbury St,Oakland,CA,94601,549900,2,1.0,Foothill,930,3955,1938,4,591,,Active,,,http://www.redfin.com/CA/Oakland/3424-Salisbury-St-94601/home/539255,Bridge MLS,40844838,N,Y,37.7862242,-122.2167483
MLS Listing,,Single Family Residential,2354 26th Ave,Oakland,CA,94601,465000,3,2.0,Oakland,1015,3270,,4,458,,Active,,,http://www.redfin.com/CA/Oakland/2354-26th-Ave-94601/home/1289204,San Francisco MLS,477784,N,Y,37.7882609,-122.2252481
MLS Listing,,Single Family Residential,3944 Huntington St,Oakland,CA,94619,659000,2,1.0,Laurel,1069,3838,1939,4,616,,Active,,,http://www.redfin.com/CA/Oakland/3944-Huntington-St-94619/home/549629,Bridge MLS,40844834,N,Y,37.7894934,-122.1875424
MLS Listing,,Townhouse,6311 Rocky Point Ct,Oakland,CA,94605-3133,849000,4,2.5,Alameda County,2415,2415,2012,4,352,263,Active,November-10-2018 12:00 PM,November-10-2018 02:00 PM,http://www.redfin.com/CA/Oakland/6311-Rocky-Point-Ct-94605/home/22677382,Bridge MLS,40844824,N,Y,37.7776461,-122.1622093
MLS Listing,,Single Family Residential,5822 E 16th St,Oakland,CA,94621-4235,498000,3,2.5,Seminary,1198,2700,1991,4,416,,Active,,,http://www.redfin.com/CA/Oakland/5822-E-16th-St-94621/home/1607669,Bridge MLS,40844801,N,Y,37.7665916,-122.1983348
MLS Listing,,Single Family Residential,21 Murdock Ct,Oakland,CA,94605,649900,3,2.0,Millsmont Area,1455,8385,1926,4,447,,Active,,,http://www.redfin.com/CA/Oakland/21-Murdock-Ct-94605/home/1727872,Bridge MLS,40844790,N,Y,37.7756412,-122.1843387
MLS Listing,,Multi-Family (2-4 Unit),2020 17Th Ave,Oakland,CA,94606,499000,5,3.0,Oakland,1202,3000,,4,415,,Active,,,http://www.redfin.com/CA/Oakland/2020-17th-Ave-94606/home/1945893,Bridge MLS,40844785,N,Y,37.7921183,-122.2386115
MLS Listing,,Single Family Residential,3060 Dakota St,Oakland,CA,94602,655000,2,2.0,Laurel,1109,5000,1924,5,591,,Active,,,http://www.redfin.com/CA/Oakland/3060-Dakota-St-94602/home/1641928,Bridge MLS,40844767,N,Y,37.7956155,-122.2047787
MLS Listing,,Single Family Residential,1744 Seminary Ave,Oakland,CA,94621,365000,2,1.0,Oakland,918,2850,1923,5,398,,Active,,,http://www.redfin.com/CA/Oakland/1744-Seminary-Ave-94621/home/569875,Bridge MLS,40844760,N,Y,37.7670538,-122.1964879
MLS Listing,,Single Family Residential,5456 Locksley Ave,OAKLAND,CA,94618,1200000,4,2.5,OAKLAND,2434,4000,1930,5,493,,Active,November-10-2018 01:00 PM,November-10-2018 04:00 PM,http://www.redfin.com/CA/Oakland/5456-Locksley-Ave-94618/home/1799353,MLSListings,ML81729904,N,Y,37.8430293,-122.2540038
MLS Listing,,Single Family Residential,1085 66Th St,Oakland,CA,94608,648000,2,2.0,Emeryville Bordr,744,3300,1908,5,871,,Active,,,http://www.redfin.com/CA/Oakland/1085-66th-St-94608/home/1362223,Bridge MLS,40844738,N,Y,37.8489138,-122.2843735
MLS Listing,,Single Family Residential,1351 92Nd Ave,Oakland,CA,94603,395000,2,1.0,Elmhurst,1006,5500,1920,5,393,,Active,November-11-2018 01:00 PM,November-11-2018 04:00 PM,http://www.redfin.com/CA/Oakland/1351-92nd-Ave-94603/home/1458734,Bridge MLS,40844691,N,Y,37.7483363,-122.1744256
MLS Listing,,Single Family Residential,2301 66th Ave,Oakland,CA,94605,425000,2,1.0,Havenscourt,884,3500,1925,5,481,,Active,November-10-2018 02:00 PM,November-10-2018 04:30 PM,http://www.redfin.com/CA/Oakland/2301-66th-Ave-94605/home/1571805,Bridge MLS,40844690,N,Y,37.7659979,-122.1888504
MLS Listing,,Single Family Residential,71 Wildwood Ave,Piedmont,CA,94610,1249000,3,1.5,Piedmont,1729,5550,1922,5,722,,Active,November-11-2018 02:00 PM,November-11-2018 04:30 PM,http://www.redfin.com/CA/Piedmont/71-Wildwood-Ave-94610/home/1810312,Bridge MLS,40844685,N,Y,37.8202209,-122.24211
MLS Listing,,Single Family Residential,6719 Lucille St,Oakland,CA,94621,399000,3,1.0,East Oakland,1014,3984,1944,5,393,,Active,,,http://www.redfin.com/CA/Oakland/6719-Lucille-St-94621/home/1587953,Bridge MLS,40844658,N,Y,37.759398,-122.1949361
MLS Listing,,Single Family Residential,4267 Coolidge Ave,Oakland,CA,94602,1038000,5,4.0,Lincoln Heights,3485,7344,1955,5,298,,Active,November-11-2018 02:00 PM,November-11-2018 04:00 PM,http://www.redfin.com/CA/Oakland/4267-Coolidge-Ave-94602/home/1798371,Bridge MLS,40844645,N,Y,37.8063153,-122.2006112
MLS Listing,,Multi-Family (2-4 Unit),1720 Clemens Rd,Oakland,CA,94602,1795000,10,6.0,Oakmore Highland,5791,8236,1951,5,310,,Active,,,http://www.redfin.com/CA/Oakland/1720-Clemens-Rd-94602/home/2000452,Bridge MLS,40844635,N,Y,37.8113508,-122.2128694
MLS Listing,,Single Family Residential,7081 Elverton Dr,Oakland,CA,94611,1199000,4,3.0,Montclair Hills,2981,13779,1992,5,402,,Active,,,http://www.redfin.com/CA/Oakland/7081-Elverton-Dr-94611/home/1342622,Bridge MLS,40844629,N,Y,37.8446284,-122.1974136
MLS Listing,,Single Family Residential,2726 60Th Ave,Oakland,CA,94605,639000,3,2.0,Seminary,1878,4400,1922,5,340,,Active,,,http://www.redfin.com/CA/Oakland/2726-60th-Ave-94605/home/1363222,Bridge MLS,40844612,N,Y,37.7720382,-122.1878417
MLS Listing,,Single Family Residential,4410 San Carlos Ave,Oakland,CA,94601,398888,2,1.0,Maxwell Pk Area,880,2772,1904,6,453,,Active,November-10-2018 02:00 PM,November-10-2018 04:30 PM,http://www.redfin.com/CA/Oakland/4410-San-Carlos-Ave-94601/home/728744,Bridge MLS,40844591,N,Y,37.7783149,-122.2075163
MLS Listing,,Single Family Residential,7207 LOCKWOOD St,Oakland,CA,94621,499999,2,2.0,East Oakland,816,4880,1907,6,613,,Active,,,http://www.redfin.com/CA/Oakland/7207-Lockwood-St-94621/home/572302,Bridge MLS,40844585,N,Y,37.7635705,-122.1818554
MLS Listing,,Single Family Residential,5546 E 16Th St,Oakland,CA,94621,640000,3,2.0,Melrose,828,3100,1914,6,773,,Active,,,http://www.redfin.com/CA/Oakland/5546-E-16th-St-94621/home/1888900,Bridge MLS,40844570,N,Y,37.7681471,-122.2005217
MLS Listing,,Multi-Family (2-4 Unit),862 56TH St,Oakland,CA,94608,899000,4,2.0,Oakland,2304,3800,1906,6,390,,Active,November-10-2018 03:00 PM,November-10-2018 05:00 PM,http://www.redfin.com/CA/Oakland/862-56th-St-94608/home/1285755,Bridge MLS,40844563,N,Y,37.8405338,-122.2725887
MLS Listing,,Multi-Family (2-4 Unit),1584 80th Ave,OAKLAND,CA,94621,700000,8,,OAKLAND,2486,4250,1927,6,282,,Active,,,http://www.redfin.com/CA/Oakland/1584-80th-Ave-94621/home/573514,MLSListings,ML81729711,N,Y,37.757831,-122.178525
MLS Listing,,Multi-Family (2-4 Unit),708 32Nd St,Oakland,CA,94609,700000,4,2.0,Oakland,1620,3000,1908,6,432,,Active,,,http://www.redfin.com/CA/Oakland/708-32nd-St-94609/home/1700760,Bridge MLS,40844535,N,Y,37.8219645,-122.27219
MLS Listing,,Multi-Family (2-4 Unit),667 35th St,Oakland,CA,94609-2908,1500000,8,4.5,Oakland,2824,6000,1898,6,531,,Active,November-11-2018 01:00 PM,November-11-2018 04:00 PM,http://www.redfin.com/CA/Oakland/667-35th-St-94609/home/1871005,Bridge MLS,40844534,N,Y,37.8242271,-122.2706518
MLS Listing,,Single Family Residential,2259 Mastlands Dr,Oakland,CA,94611,792000,3,3.0,Piedmont Pines,1564,6076,1976,6,506,,Active,November-11-2018 02:00 PM,November-11-2018 04:30 PM,http://www.redfin.com/CA/Oakland/2259-Mastlands-Dr-94611/home/1806886,Bridge MLS,40844533,N,Y,37.8191965,-122.1985717
MLS Listing,,Single Family Residential,462 44Th St,Oakland,CA,94609,1325000,5,4.0,Temescal,2197,4280,1906,6,603,,Active,November-10-2018 02:00 PM,November-10-2018 04:30 PM,http://www.redfin.com/CA/Oakland/462-44th-St-94609/home/1754643,Bridge MLS,40844515,N,Y,37.832689,-122.261424
MLS Listing,,Single Family Residential,1816 63rd St,Berkeley,CA,94703,839000,4,3.5,Berkeley,2369,5400,1909,6,354,,Active,November-10-2018 02:00 PM,November-10-2018 04:30 PM,http://www.redfin.com/CA/Berkeley/1816-63rd-St-94703/home/1289135,Bridge MLS,40844502,N,Y,37.8477433,-122.2701962
MLS Listing,,Single Family Residential,985 44Th St,Oakland,CA,94608,1150000,5,4.5,Nobe,3167,5000,1925,6,363,,Active,,,http://www.redfin.com/CA/Oakland/985-44th-St-94608/home/1841195,Bridge MLS,40844500,N,Y,37.8339126,-122.2752471
MLS Listing,,Single Family Residential,1250 Haskell St,Berkeley,CA,94702,750000,2,1.0,Berkeley,811,3500,1923,6,925,,Active,,,http://www.redfin.com/CA/Berkeley/1250-Haskell-St-94702/home/1163300,Bridge MLS,40844490,N,Y,37.8508293,-122.283709
MLS Listing,,Single Family Residential,1042 60Th St,Oakland,CA,94608,795000,2,1.0,North Oakland,967,4405,1946,6,822,,Active,November-11-2018 02:00 PM,November-11-2018 04:30 PM,http://www.redfin.com/CA/Oakland/1042-60th-St-94608/home/2029536,Bridge MLS,40844483,N,Y,37.8436129,-122.2811395
MLS Listing,,Single Family Residential,3038 75Th Ave,Oakland,CA,94605,568000,3,2.0,Eastmont Hills,1006,3404,1941,6,565,,Active,,,http://www.redfin.com/CA/Oakland/3038-75th-Ave-94605/home/1422782,Bridge MLS,40844355,N,Y,37.7704904,-122.1681967
MLS Listing,,Single Family Residential,1516 Holman Rd,Oakland,CA,94610,895000,3,2.0,Crocker Hghlands,1448,4400,1948,6,618,,Active,November-10-2018 01:00 PM,November-10-2018 04:00 PM,http://www.redfin.com/CA/Oakland/1516-Holman-Rd-94610/home/1880713,Bridge MLS,40844477,N,Y,37.807804,-122.225159
MLS Listing,,Single Family Residential,3206 Champion St,Oakland,CA,94602,529998,3,1.0,Diamond District,728,3300,1921,7,728,,Active,November-10-2018 12:00 PM,November-10-2018 03:00 PM,http://www.redfin.com/CA/Oakland/3206-Champion-St-94602/home/1727469,Bridge MLS,40844422,N,Y,37.7969706,-122.2157287
MLS Listing,,Single Family Residential,5304 Bryant Ave,Oakland,CA,94618,875000,4,2.0,Rockridge,1587,3159,1914,7,551,,Active,November-10-2018 02:00 PM,November-10-2018 04:00 PM,http://www.redfin.com/CA/Oakland/5304-Bryant-Ave-94618/home/1963921,Bridge MLS,40844403,N,Y,37.8379121,-122.2509984
MLS Listing,,Single Family Residential,6930 Lacey Ave,Oakland,CA,94605,615000,3,2.0,Eastmont,1458,6435,1927,7,422,,Active,,,http://www.redfin.com/CA/Oakland/6930-Lacey-Ave-94605/home/1607723,Bridge MLS,40844370,N,Y,37.7713168,-122.173075
MLS Listing,,Multi-Family (2-4 Unit),8920 International Blvd,Oakland,CA,94621,499000,4,2.0,Oakland,1920,4000,1900,7,260,,Active,,,http://www.redfin.com/CA/Oakland/8920-International-Blvd-94621/home/147918263,Bridge MLS,40844364,N,Y,37.7499785,-122.1743167
MLS Listing,,Single Family Residential,2251 87TH Ave,Oakland,CA,94605,429000,3,1.0,East Oakland,1364,3300,1921,7,315,,Active,,,http://www.redfin.com/CA/Oakland/2251-87th-Ave-94605/home/586305,Bridge MLS,40844344,N,Y,37.7564162,-122.1661899
MLS Listing,,Multi-Family (2-4 Unit),3341 72Nd Ave,Oakland,CA,94605,499000,2,2.0,Oakland,1416,6191,1939,8,352,,Active,,,http://www.redfin.com/CA/Oakland/3341-72nd-Ave-94605/home/1533058,Bridge MLS,40844275,N,Y,37.7703769,-122.1723655
MLS Listing,,Single Family Residential,2465 Siesta Ln,Oakland,CA,94603,529950,4,2.0,East Oakland,1374,2409,2003,8,386,80,Active,,,http://www.redfin.com/CA/Oakland/2465-Siesta-Ln-94603/home/1213940,Bridge MLS,40844274,N,Y,37.7534562,-122.1615773
MLS Listing,,Single Family Residential,4218 PORTER St,Oakland,CA,94619,588000,2,1.0,High Street,863,3440,1917,8,681,,Active,,,http://www.redfin.com/CA/Oakland/4218-Porter-St-94619/home/1340887,Bridge MLS,40844264,N,Y,37.7869665,-122.197818
MLS Listing,,Single Family Residential,5639 Picardy Dr S,Oakland,CA,94605,799000,4,2.0,Maxwell  Park,1675,3534,1926,9,477,,Active,November-10-2018 01:30 PM,November-10-2018 04:30 PM,http://www.redfin.com/CA/Oakland/5639-Picardy-Dr-S-94605/home/1670940,Bridge MLS,40844232,N,Y,37.7746641,-122.1902361
MLS Listing,,Single Family Residential,6474 Outlook Ave,Oakland,CA,94605,699999,3,3.0,Upper Millsmont,1500,7000,1924,9,467,,Active,,,http://www.redfin.com/CA/Oakland/6474-Outlook-Ave-94605/home/565198,Bridge MLS,40844228,N,Y,37.775496,-122.1755141
MLS Listing,,Single Family Residential,5001 Fairfax,Oakland,CA,94601,480000,3,1.0,Maxwell Pk Area,1430,3216,1929,9,336,,Active,,,http://www.redfin.com/CA/Oakland/5001-Fairfax-Ave-94601/home/1809237,Bridge MLS,40844227,N,Y,37.7767707,-122.2016088
MLS Listing,,Multi-Family (2-4 Unit),9312 Holly St,Oakland,CA,94603,549000,4,2.0,Oakland,1610,6098,1949,9,341,,Active,,,http://www.redfin.com/CA/Oakland/9312-Holly-St-94603/home/147910117,Bridge MLS,40844226,N,Y,37.7482554,-122.1717137
MLS Listing,,Single Family Residential,840 7Th Ave,Oakland,CA,94606,779000,3,2.0,Oakland,1807,2250,1910,9,431,,Active,,,http://www.redfin.com/CA/Oakland/840-7th-Ave-94606/home/536280,Bridge MLS,40844217,N,Y,37.7918646,-122.2551722
MLS Listing,,Single Family Residential,2506 63rd Ave,OAKLAND,CA,94605,428888,2,1.0,OAKLAND,894,4760,1922,9,480,,Active,,,http://www.redfin.com/CA/Oakland/2506-63rd-Ave-94605/home/567794,MLSListings,ML81729291,N,Y,37.7684765,-122.1886398
MLS Listing,,Single Family Residential,1436 74Th Ave,Oakland,CA,94621,449000,3,1.0,Eastmont,1024,4050,1924,10,438,,Active,,,http://www.redfin.com/CA/Oakland/1436-74th-Ave-94621/unit-94621/home/1957650,Bridge MLS,40844196,N,Y,37.759212,-122.1852366
MLS Listing,,Single Family Residential,1601 85Th Ave,Oakland,CA,94621,399000,2,1.0,Eastmont,676,1800,1927,10,590,,Active,,,http://www.redfin.com/CA/Oakland/1601-85th-Ave-94621/home/1681256,Bridge MLS,40844193,N,Y,37.7545952,-122.1756915
MLS Listing,,Multi-Family (2-4 Unit),973 26Th St,Oakland,CA,94607,750000,6,4.0,West Oak,2000,4280,1985,10,375,,Active,,,http://www.redfin.com/CA/Oakland/973-26th-St-94607/home/1890612,Bridge MLS,40844181,N,Y,37.8177004,-122.2791901
MLS Listing,,Single Family Residential,593 Mountain Blvd,Oakland,CA,94611,1295000,4,2.5,Montclair,2650,8680,1993,10,489,,Active,,,http://www.redfin.com/CA/Oakland/593-Mountain-Blvd-94611/home/887348,Bridge MLS,40844160,N,Y,37.8442572,-122.2245943
MLS Listing,,Single Family Residential,2969 Morcom Ave,Oakland,CA,94619,599000,3,1.0,Maxwell  Park,1146,4033,1925,10,523,,Active,,,http://www.redfin.com/CA/Oakland/2969-Morcom-Ave-94619/home/560339,Bridge MLS,40844157,N,Y,37.7786838,-122.1910231
MLS Listing,,Single Family Residential,804 Mandana Blvd,Oakland,CA,94610,998000,3,2.5,Crocker Hghlands,1884,5500,1918,11,530,,Active,,,http://www.redfin.com/CA/Oakland/804-Mandana-Blvd-94610/home/1476027,Bridge MLS,40844142,N,Y,37.8119557,-122.2327944
MLS Listing,,Single Family Residential,2503 19th Ave,Oakland,CA,94606,699000,4,2.5,Highland,1280,4450,1912,11,546,,Active,,,http://www.redfin.com/CA/Oakland/2503-19th-Ave-94606/home/147868278,Bridge MLS,40844137,N,Y,37.7947257,-122.2334592
MLS Listing,,Single Family Residential,2048 104Th Ave,Oakland,CA,94603,490000,4,3.0,Durant Manor,1044,3142,1939,11,469,,Active,,,http://www.redfin.com/CA/Oakland/2048-104th-Ave-94603/home/1031569,Bridge MLS,40844136,N,Y,37.7419234,-122.1597256
MLS Listing,,Single Family Residential,7217 Skyline Blvd,Oakland,CA,94611,1395000,4,3.5,Thornhill,4573,7953,2006,11,305,,Active,,,http://www.redfin.com/CA/Oakland/7217-Skyline-Blvd-94611/home/12348763,Bridge MLS,40844129,N,Y,37.8428479,-122.1967539
MLS Listing,,Multi-Family (2-4 Unit),326 Center St,Oakland,CA,94607,899000,6,4.0,Oakland,2100,2960,1889,11,428,,Active,November-10-2018 01:00 PM,November-10-2018 03:00 PM,http://www.redfin.com/CA/Oakland/326-Center-St-94607/home/726976,Bridge MLS,40844123,N,Y,37.803143,-122.295371
MLS Listing,,Single Family Residential,3538 Mangels Ave,Oakland,CA,94619,599950,2,1.0,Allendale,817,1750,1927,11,734,,Active,,,http://www.redfin.com/CA/Oakland/3538-Mangels-Ave-94619/home/1995177,Bridge MLS,40844104,N,Y,37.790703,-122.2042356
MLS Listing,,Single Family Residential,1114 Winsor Ave,Piedmont,CA,94610,2250000,5,2.5,Wildwood,3101,5451,1924,11,726,,Active,,,http://www.redfin.com/CA/Piedmont/1114-Winsor-Ave-94610/home/645173,Bridge MLS,40844098,N,Y,37.8189667,-122.2374038
MLS Listing,,Single Family Residential,838 Paramount Rd,Oakland,CA,94610,2150000,4,2.5,Crocker Hghlands,2402,5200,1925,11,895,16,Active,,,http://www.redfin.com/CA/Oakland/838-Paramount-Rd-94610/home/526892,Bridge MLS,40844096,N,Y,37.8108107,-122.2314203
