SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,5737 Kingsley Cir,Oakland,CA,94605,365000,3,1.0,Alameda County,858,2178,1924,9,425,,Active,,,http://www.redfin.com/CA/Oakland/5737-Kingsley-Cir-94605/home/566923,BAREIS,21831147,N,Y,37.7730516,-122.1911229
MLS Listing,,Condo/Co-op,8065 Greenridge Dr,Oakland,CA,94605,430000,2,1.0,Sequoyah,899,,1964,9,478,259,Active,December-30-2018 02:00 PM,December-30-2018 04:00 PM,http://www.redfin.com/CA/Oakland/8065-Greenridge-Dr-94605/home/95473248,Bridge MLS,40848536,N,Y,37.7728359,-122.1524071
MLS Listing,,Vacant Land,13193 Skyline Blvd,Oakland,CA,94619,550000,,,Oakland,,103850,,10,,,Active,,,http://www.redfin.com/CA/Oakland/13193-Skyline-Blvd-94619/home/148535865,Bridge MLS,40848515,N,Y,37.7873891,-122.1502605
MLS Listing,,Condo/Co-op,1 Kelton Ct Unit 3J,Oakland,CA,94611,475000,1,1.0,Kelton Court,720,49845,1974,10,660,418,Active,,,http://www.redfin.com/CA/Oakland/1-Kelton-Ct-94611/unit-3J/home/1880332,Bridge MLS,40848489,N,Y,37.8243896,-122.2508859
MLS Listing,,Single Family Residential,7081 Elverton Dr,Oakland,CA,94611,1199000,4,3.0,Montclair Hills,2981,13779,1992,10,402,,Active,,,http://www.redfin.com/CA/Oakland/7081-Elverton-Dr-94611/home/1342622,Bridge MLS,40848480,N,Y,37.8446284,-122.1974136
MLS Listing,,Single Family Residential,28 Contra Costa Pl,OAKLAND,CA,94618,1780000,3,3.0,OAKLAND,2553,8160,1994,11,697,,Active,,,http://www.redfin.com/CA/Oakland/28-Contra-Costa-Pl-94618/home/2000769,MLSListings,ML81733659,N,Y,37.8473229,-122.2348553
MLS Listing,,Single Family Residential,1931 104th Ave,Oakland,CA,94603-3333,699000,5,3.0,Oakland,2060,2060,1918,11,339,,Active,,,http://www.redfin.com/CA/Oakland/1931-104th-Ave-94603/home/1761692,Bridge MLS,40848435,N,Y,37.7419431,-122.1614997
MLS Listing,,Single Family Residential,6317 Westover Dr,Oakland,CA,94611,899000,2,2.0,Oakland,1430,8120,1949,11,629,,Active,December-30-2018 12:00 PM,December-30-2018 03:00 PM,http://www.redfin.com/CA/Oakland/6317-Westover-Dr-94611/home/1806882,San Francisco MLS,479570,N,Y,37.8305114,-122.1962142
MLS Listing,,Single Family Residential,1739 Chase St,Oakland,CA,94607,700000,3,2.0,Oakland West,1400,2657,1885,13,500,,Active,,,http://www.redfin.com/CA/Oakland/1739-Chase-St-94607/home/2029374,Bridge MLS,40848367,N,Y,37.808411,-122.301117
MLS Listing,,Single Family Residential,1344 64TH,Oakland,CA,94621,539000,5,3.0,Oakland,1289,3625,1924,13,418,,Active,,,http://www.redfin.com/CA/Oakland/1344-64th-Ave-94621/home/2036699,Bridge MLS,40848345,N,Y,37.762185,-122.197049
MLS Listing,,Vacant Land,0 18th St,Oakland,CA,94607,300000,,,Oakland,,4000,,13,,,Active,,,http://www.redfin.com/CA/Oakland/18th-St-94612/home/22689042,Bridge MLS,40848344,N,Y,37.810067,-122.276948
MLS Listing,,Single Family Residential,2206 Church St,Oakland,CA,94605,409000,3,1.0,Havenscourt,1117,3650,1942,15,366,,Active,,,http://www.redfin.com/CA/Oakland/2206-Church-St-94605/home/1728010,Bridge MLS,40848300,N,Y,37.7660426,-122.1824319
